POB1,nom_estado,nom_mun,2006,2007,2008,2009,2010,2011,2012,2013,2014
12748,México,Rayón,0,0,0,0,0,0,0,0,0
22152,México,San Antonio la Isla,0,0,0,0,0,0,0,1,1
121396,México,San Felipe del Progreso,0,0,0,0,0,1,1,0,2
24851,México,San Martín de las Pirámid,0,0,0,0,0,0,0,0,0
72579,México,San Mateo Atenco,0,0,0,0,1,1,0,2,3
6272,México,San Simón de Guerrero,0,0,0,0,0,0,0,0,0
9111,México,Santo Tomás,0,0,0,0,0,0,0,0,0
11798,México,Soyaniquilpan de Juárez,0,0,0,0,0,0,0,0,0
25809,México,Sultepec,0,0,0,0,0,0,0,0,0
364579,México,Tecámac,0,3,1,3,1,2,3,2,2
71077,México,Tejupilco,0,0,0,1,0,0,3,1,0
11206,México,Temamatla,0,1,0,0,0,0,0,0,0
35987,México,Temascalapa,0,0,0,0,0,1,1,1,0
62695,México,Temascalcingo,0,0,0,0,0,0,0,0,0
32870,México,Temascaltepec,0,0,0,0,0,0,0,0,0
90010,México,Temoaya,0,1,0,1,0,0,0,1,1
90946,México,Tenancingo,1,1,0,3,0,2,3,4,3
10578,México,Tenango del Aire,0,0,0,0,0,0,0,0,0
77965,México,Tenango del Valle,0,0,0,1,0,0,2,0,1
63115,México,Teoloyucán,0,0,0,1,2,0,2,2,0
53010,México,Teotihuacán,0,0,0,0,0,0,0,1,0
27944,México,Tepetlaoxtoc,0,0,0,0,0,0,0,0,0
18327,México,Tepetlixpa,0,0,0,1,0,0,0,0,0
88559,México,Tepotzotlán,0,0,0,1,0,3,2,1,0
33907,México,Tequixquiac,0,0,0,0,0,0,0,0,0
17390,México,Texcaltitlán,0,0,0,0,0,0,0,0,0
5111,México,Texcalyacac,0,0,0,0,0,0,0,0,0
235151,México,Texcoco,0,0,0,0,3,3,1,1,9
35199,México,Tezoyuca,0,0,0,0,1,0,0,0,1
70682,México,Tianguistenco,0,0,2,1,0,1,1,3,0
15391,México,Timilpan,0,0,0,0,0,0,1,0,0
46130,México,Tlalmanalco,0,0,0,0,0,2,0,0,0
664225,México,Tlalnepantla de Baz,3,8,3,4,4,10,15,3,35
32997,México,Tlatlaya,0,0,2,0,0,0,0,1,0
819561,México,Toluca,1,6,5,15,8,36,23,58,50
12099,México,Tonatico,0,0,0,0,0,0,0,0,0
131567,México,Tultepec,0,0,0,2,0,0,1,3,1
486998,México,Tultitlán,0,3,3,3,3,4,6,3,11
61599,México,Valle de Bravo,0,2,0,0,0,0,3,3,1
47709,México,Villa de Allende,0,0,0,0,0,0,1,2,0
44881,México,Villa del Carbón,0,0,0,0,0,0,0,0,3
59991,México,Villa Guerrero,0,0,0,0,0,1,0,0,0
94369,México,Villa Victoria,0,0,0,1,0,1,0,1,2
46331,México,Xonacatlán,0,0,0,0,0,0,0,4,0
4051,México,Zacazonapan,0,0,0,0,0,0,0,0,0
15121,México,Zacualpan,0,0,0,0,0,1,0,0,0
167759,México,Zinacantepec,0,0,0,0,1,1,1,7,3
16365,México,Zumpahuacán,0,0,1,0,0,0,0,0,0
159647,México,Zumpango,0,0,1,1,1,0,1,3,2
511675,México,Cuautitlán Izcalli,0,0,0,0,0,0,0,0,2
357645,México,Valle de Chalco Solidarid,3,5,2,3,5,8,4,3,3
27781,México,Luvianos,0,0,0,1,0,0,0,0,0
91345,México,San José del Rincón,0,0,0,0,0,0,0,0,0
10216,México,Tonanitla,0,0,0,0,0,0,1,0,0
17021,Morelos,Amacuzac,0,0,0,0,0,0,0,0,1
18895,Morelos,Atlatlahucan,0,0,0,0,0,0,0,0,0
33695,Morelos,Axochiapan,0,0,0,0,0,0,0,0,0
78866,Morelos,Ayala,0,0,0,0,0,0,0,1,0
9471,Morelos,Coatlán del Río,0,0,0,0,0,0,0,0,0
175207,Morelos,Cuautla,0,0,0,0,1,0,0,0,0
365168,Morelos,Cuernavaca,0,0,0,1,0,1,1,10,14
83485,Morelos,Emiliano Zapata,0,0,0,0,0,0,0,2,1
17340,Morelos,Huitzilac,0,0,0,0,0,0,0,0,0
15646,Morelos,Jantetelco,0,0,0,0,0,0,0,0,0
196953,Morelos,Jiutepec,0,0,0,0,0,0,1,1,6
55115,Morelos,Jojutla,0,0,0,0,0,0,1,1,1
14604,Morelos,Jonacatepec,0,0,0,0,0,0,0,0,0
9456,Morelos,Mazatepec,0,0,0,0,0,0,0,1,0
24990,Morelos,Miacatlán,0,0,0,0,0,0,0,0,0
16858,Morelos,Ocuituco,0,0,0,0,0,0,0,0,0
61585,Morelos,Puente de Ixtla,0,0,0,0,0,0,0,2,0
108126,Morelos,Temixco,0,0,0,0,0,0,0,1,9
25346,Morelos,Tepalcingo,0,0,0,0,0,0,0,0,0
41629,Morelos,Tepoztlán,0,0,0,0,0,0,0,0,3
7441,Morelos,Tetecala,0,0,0,0,0,0,0,0,0
19138,Morelos,Tetela del Volcán,0,0,0,0,0,0,0,0,0
6636,Morelos,Tlalnepantla,0,0,0,0,0,0,0,0,0
48881,Morelos,Tlaltizapán,0,0,0,0,0,0,0,0,0
31534,Morelos,Tlaquiltenango,0,0,0,0,0,0,0,2,0
16543,Morelos,Tlayacapan,0,0,0,0,0,0,0,0,0
10789,Morelos,Totolapan,0,0,0,0,0,0,0,0,0
63382,Morelos,Xochitepec,0,0,0,0,1,0,1,3,2
97827,Morelos,Yautepec,0,0,0,0,0,3,0,1,0
46809,Morelos,Yecapixtla,0,0,0,0,0,0,0,0,0
35063,Morelos,Zacatepec de Hidalgo,0,0,0,0,0,0,1,2,0
9087,Morelos,Zacualpan de Amilpas,0,0,0,0,0,0,0,0,0
14641,Morelos,Temoac,0,0,0,0,0,0,0,0,0
60353,Puebla,Acajete,0,0,0,0,0,0,1,0,0
8916,Puebla,Acateno,0,0,0,0,0,0,0,0,0
33865,Puebla,Acatlán,0,0,0,0,0,0,0,0,3
52078,Puebla,Acatzingo,0,0,0,0,0,0,2,0,0
2881,Puebla,Acteopan,0,0,0,0,0,0,0,0,0
14754,Puebla,Ahuacatlán,0,0,0,0,0,0,0,0,0
3403,Puebla,Ahuatlán,0,0,0,0,0,0,0,0,0
10457,Puebla,Ahuazotepec,0,0,0,0,0,0,0,0,0
2008,Puebla,Ahuehuetitla,0,0,0,0,0,0,0,0,0
60621,Puebla,Ajalpan,0,0,0,0,0,0,0,0,0
1770,Puebla,Albino Zertuche,0,0,0,0,0,0,0,0,0
6288,Puebla,Aljojuca,0,0,0,0,0,0,0,0,0
18920,Puebla,Altepexi,0,0,0,0,0,0,0,0,0
5004,Puebla,Amixtlán,0,0,0,0,0,0,0,0,0
100964,Puebla,Amozoc,0,0,0,0,0,0,1,3,0
7848,Puebla,Aquixtla,0,0,0,0,0,0,0,0,0
25386,Puebla,Atempan,0,0,0,0,0,0,0,0,0
